Model,Weighted Precision (mean),Weighted Precision (std),Weighted Recall (mean),Weighted Recall (std),Weighted F1 (mean),Weighted F1 (std)
LASSO_comb,0.754791669923249,0.062001369618440424,0.7487908961593173,0.06129431864946346,0.7485492853754635,0.06085250839759936
LASSO_cont,0.5845460681411128,0.021015304453112667,0.5879089615931722,0.03133838891659137,0.5812981956071492,0.022359618457396865
LR_comb,0.6367491046843027,0.05492735445027595,0.641678520625889,0.05010344230498164,0.6320812079395354,0.05315939896556024
LR_cont,0.5599744068414935,0.037384839036209025,0.5610241820768136,0.044399456443583285,0.5561789739421318,0.03575246826146531
RF_comb,0.7710945511136075,0.022524993900589124,0.7647226173541963,0.0193916280943977,0.7568116174117531,0.02233192429176859
RF_cont,0.6058937692873251,0.06557198578312382,0.6092460881934565,0.062432884550361056,0.5954912676378008,0.056818580786549513
TT_cat,0.8149926853009367,0.021379786358578005,0.8128022759601707,0.023982103460264678,0.8113374143174508,0.025311127719071364
TT_comb,0.8386014075121627,0.03137359176570675,0.8344238975817924,0.029968009291069575,0.8326436543802764,0.03221302931147434
TT_cont,0.59910324955697,0.06611766157069573,0.6099573257467995,0.06050052688942173,0.5982308356631343,0.066018765041936
