Model,Macro Precision (mean),Macro Precision (std),Macro Recall (mean),Macro Recall (std),Macro F1 (mean),Macro F1 (std)
LASSO_comb,0.7437287128076602,0.06672570369454474,0.7412779973649538,0.0626558004528655,0.7390549357737073,0.06346306714365994
LASSO_cont,0.569580173108146,0.023236399871844664,0.5628853754940711,0.015085126939546372,0.5608427821794396,0.015340548542060732
LR_comb,0.6243024888116165,0.05487509128018562,0.6143083003952569,0.060148043044016976,0.6114526029786316,0.05900126072443431
LR_cont,0.5435528462972683,0.03971265745923115,0.5382345191040844,0.032397798198624365,0.5361559274059274,0.030819893350250583
RF_comb,0.7717059176455728,0.02717776048384993,0.7373517786561264,0.02654130495206319,0.7420863754049337,0.026030008503640237
RF_cont,0.5946125829523445,0.07206723542672681,0.576034255599473,0.0571949855062139,0.5716682570314955,0.0578867279354757
TT_cat,0.8096844772164464,0.021348401853032786,0.8015942028985507,0.029285233183500434,0.8028098216958787,0.02735047518008588
TT_comb,0.834111057262087,0.028226807438303168,0.8238208168642952,0.04095843326001577,0.8247433553492749,0.03586853254266775
TT_cont,0.584227286123838,0.07093282142453897,0.5789459815546772,0.06873685347591163,0.574707001577741,0.07393077160625405
