Experiment,Mean AUC,Std Dev (±)
Tt Comb,0.9036890645586299,0.050579296594061754
Tt Cat,0.8847957839262186,0.021369533527199686
Lasso Comb,0.8169169960474308,0.03210158919259935
Rf Comb,0.8158234519104084,0.05602881083277493
Lr Comb,0.6863241106719368,0.07712809231878526
Rf Cont,0.650171277997365,0.07115764560002695
Tt Cont,0.6387878787878788,0.08629724124596291
Lasso Cont,0.6060606060606061,0.03825039690875322
Lr Cont,0.5913043478260869,0.08945323739157361
