Model,Macro Precision (mean),Macro Precision (std),Macro Recall (mean),Macro Recall (std),Macro F1 (mean),Macro F1 (std)
Cb Cont,0.873752104849198,0.027285464690828036,0.8722580645161291,0.028602150537634395,0.8719383614053611,0.02847805860326516
Lasso Cont,0.8700718263533768,0.027519171444532548,0.865268817204301,0.028535373580539765,0.8650097374023419,0.028484349219055054
Lgbm Cont,0.871912596080953,0.03589423884420187,0.8688172043010752,0.038101555395137494,0.8684236262587964,0.037885422401626276
Lr Cont,0.87515720670615,0.014055854028262132,0.8718279569892473,0.01977033120787082,0.8716618827537209,0.01992963254722784
Mlp Cont,0.812312909791358,0.07132992932586903,0.8103225806451613,0.07220444118834435,0.8094151904461265,0.07275754776325946
Rf Cont,0.8741054412309974,0.04970935123384937,0.8720430107526882,0.05279558942677476,0.871700647763538,0.05293595947898502
Tt Cont,0.8787866335467838,0.024449020164352138,0.8751612903225807,0.02475314592777592,0.8750280687125889,0.024667964643821556
Xgb Cont,0.8594507786429366,0.034003861254837266,0.8591397849462366,0.0339434282100314,0.8589652428058259,0.03379272779724946
