Experiment,Mean AUC,Std Dev (±)
Cb Cont,0.9453763440860214,0.0131763214469165
Lgbm Cont,0.9436559139784946,0.02240690972495678
Tt Cont,0.9425806451612905,0.010282179000328526
Lr Cont,0.9374193548387098,0.002668747020643185
Lasso Cont,0.9374193548387095,0.013471363237303927
Xgb Cont,0.935483870967742,0.024501032892259987
Rf Cont,0.9317204301075268,0.024118162119379036
Mlp Cont,0.8956989247311828,0.0533576080726073
