Model,Weighted Precision (mean),Weighted Precision (std),Weighted Recall (mean),Weighted Recall (std),Weighted F1 (mean),Weighted F1 (std)
Cb Cont,0.8739281903638663,0.027548560274950368,0.8721311475409836,0.02820434513784467,0.8719631867519297,0.028406149584743644
Lasso Cont,0.8699126764757843,0.02759183734078313,0.8655737704918032,0.028204345137844686,0.8650919292662558,0.028433293264462117
Lgbm Cont,0.8719979580379273,0.036377383027859214,0.8688524590163935,0.03738280082292256,0.8684857839002053,0.03776338168863205
Lr Cont,0.8750062738936533,0.014484449597318816,0.8721311475409836,0.01911787506506654,0.8717437850383275,0.01981850827796639
Mlp Cont,0.8126865903081277,0.07139554602451334,0.8098360655737705,0.07228002519688068,0.809356818795764,0.07282873408355388
Rf Cont,0.8741502245968501,0.05002723575002712,0.8721311475409836,0.05225369655904664,0.8717700474120911,0.05282210021883114
Tt Cont,0.8786575438519538,0.02447383366644412,0.8754098360655738,0.024535458273927512,0.875093947924636,0.02463744277813812
Xgb Cont,0.8596166201669128,0.03413763932380783,0.8590163934426229,0.033756164396678674,0.8589864112848096,0.03376544966925483
